Generation,Max_Fitness,Avg_Fitness,Optimal_HPs
1,0.6,0.498,"α=0.99, γ=0.41, R_draw=0.24"
2,0.98,0.5104,"α=0.88, γ=0.27, R_draw=0.02"
3,0.52,0.49439999999999995,"α=0.23, γ=0.41, R_draw=0.45"
4,0.6,0.49439999999999995,"α=0.23, γ=0.41, R_draw=0.29"
5,1.06,0.5064,"α=0.23, γ=0.11, R_draw=0.23"
6,0.98,0.5044,"α=0.53, γ=0.9, R_draw=0.42"
7,0.52,0.494,"α=0.68, γ=0.71, R_draw=0.51"
8,0.52,0.4916,"α=0.94, γ=0.24, R_draw=0.42"
9,1.08,0.5047999999999999,"α=0.62, γ=0.02, R_draw=0.27"
10,0.56,0.4964,"α=0.83, γ=0.07, R_draw=0.92"
11,0.54,0.49200000000000005,"α=0.04, γ=0.69, R_draw=0.23"
12,0.6,0.49479999999999996,"α=0.88, γ=0.73, R_draw=0.7"
13,0.56,0.49520000000000003,"α=0.9, γ=0.75, R_draw=0.16"
14,0.56,0.4972,"α=0.09, γ=0.56, R_draw=0.74"
15,0.98,0.514,"α=0.09, γ=0.01, R_draw=0.1"
16,0.52,0.4916,"α=0.09, γ=0.78, R_draw=0.48"
17,0.94,0.5015999999999999,"α=0.35, γ=0.06, R_draw=0.23"
18,0.98,0.5036,"α=0.09, γ=0.01, R_draw=0.12"
19,0.52,0.4936,"α=0.09, γ=0.01, R_draw=0.12"
20,0.52,0.488,"α=0.09, γ=0.68, R_draw=0.99"
21,0.98,0.514,"α=0.73, γ=0.17, R_draw=0.89"
22,0.52,0.49200000000000005,"α=0.12, γ=0.75, R_draw=0.89"
23,0.58,0.49560000000000004,"α=0.35, γ=0.06, R_draw=0.12"
24,1.018,0.49835999999999997,"α=0.9, γ=0.9, R_draw=0.12"
25,0.66,0.4984,"α=0.73, γ=0.06, R_draw=0.12"
26,0.52,0.4928,"α=0.63, γ=0.48, R_draw=0.12"
27,1.03,0.5034,"α=0.9, γ=0.14, R_draw=0.12"
28,0.52,0.49079999999999996,"α=0.9, γ=0.06, R_draw=0.29"
29,0.6,0.49479999999999996,"α=0.94, γ=0.48, R_draw=0.89"
30,0.52,0.4932,"α=0.73, γ=0.9, R_draw=0.12"
